"relative.time.stamp,""annotation.inductive.proximity.sensor"",""annotation.analog.pressure.lower.back"",""annotation.bending.sensor.left"",""annotation.bending.sensor.right"",""annotation.digital.pressure.left.shoulder"",""annotation.digital.pressure.right.shoulder"",""annotation.any.activity"",""inductive.proximity.sensor"",""analog.pressure.lower.back"",""bending.sensor.left"",""bending.sensor.right"",""digital.pressure.left.shoulder"",""digital.pressure.right.shoulder"""
75797,0,0,0,0,0,0,0,0,846,0,0,0,0
75990,0,0,0,0,0,0,0,0,851,0,0,0,0
76188,0,0,0,0,0,0,0,0,861,0,0,0,0
76389,0,0,0,0,0,0,0,0,862,0,0,0,0
76588,0,0,0,0,0,0,0,0,864,0,0,0,0
76792,0,0,0,0,0,0,0,0,864,0,0,0,0
76993,0,0,0,0,0,0,1,0,862,0,0,0,0
77172,0,0,0,0,0,0,1,0,859,0,0,0,0
77364,0,0,0,0,0,0,1,0,862,0,0,0,0
77556,0,0,0,0,0,0,1,0,858,0,0,0,0
77748,0,0,0,0,0,0,1,0,847,0,0,0,0
77940,0,0,0,0,0,0,1,0,845,0,0,0,0
78148,0,0,0,0,0,0,1,0,852,0,0,0,0
78340,0,0,0,0,0,0,1,0,851,0,0,0,0
78600,0,0,0,0,0,0,1,0,849,0,0,0,0
78723,0,0,0,0,0,0,1,0,857,0,0,0,0
78935,0,0,0,0,0,0,0,0,860,0,0,0,0
79123,0,0,0,0,0,0,0,0,862,0,0,0,0
79316,0,0,0,0,0,0,0,0,861,0,0,0,0
79507,0,0,0,0,0,0,0,0,860,0,0,0,0
79788,0,0,0,0,0,0,0,0,866,0,0,0,0
79907,0,0,0,0,0,0,0,0,874,0,0,0,0
80099,0,0,0,0,0,0,0,0,707,0,0,0,0
80313,0,0,0,0,0,0,0,0,94,0,0,0,0
80483,0,0,0,0,0,0,0,0,0,0,0,0,0
80675,0,0,0,0,0,0,0,0,0,0,0,0,0
80867,0,0,0,0,0,0,0,0,0,0,0,0,0
81075,0,0,0,0,0,0,0,0,0,0,0,0,0
81363,0,0,0,0,0,0,0,0,0,0,0,0,0
81458,0,0,0,0,0,0,0,0,0,0,0,0,0
81651,0,0,0,0,0,0,0,0,0,523,0,0,0
81859,0,0,0,0,0,0,0,0,0,0,0,0,0
82050,0,0,0,0,0,0,0,0,0,0,0,0,0
82242,0,0,0,0,0,0,0,0,0,0,0,0,0
82434,0,0,0,0,0,0,0,5,0,0,0,0,0
82626,0,0,0,0,0,0,0,0,2,0,3,0,0
82834,0,0,0,0,0,0,0,0,3,0,22,0,0
83026,0,0,0,0,0,0,0,0,5,0,23,0,0
83218,0,0,0,0,0,0,0,0,8,0,24,0,0
83410,0,0,0,0,0,0,0,0,4,0,6,0,0
83634,0,0,0,0,0,0,0,2,5,0,5,0,0
83809,0,0,0,0,0,0,0,0,7,0,11,0,0
84001,0,0,0,0,0,0,0,0,6,0,12,0,0
84199,0,0,0,0,0,0,0,0,7,0,12,0,0
84386,0,0,0,0,0,0,1,0,8,0,11,0,0
84593,0,0,0,0,0,0,1,18,9,1,5,0,0
84785,0,0,0,0,0,0,1,16,7,0,31,0,0
84991,0,0,0,0,0,0,1,0,5,0,31,0,0
85169,0,0,0,0,0,0,1,0,4,0,20,0,0
85361,0,0,0,0,0,0,1,0,4,0,24,0,0
85568,0,0,0,0,0,0,1,0,5,0,26,0,0
85760,0,0,0,0,0,0,1,0,5,0,24,0,0
85952,0,0,0,0,0,0,1,0,5,0,27,0,0
86206,0,0,0,0,0,0,1,0,5,0,25,0,0
86336,0,0,0,0,0,0,1,0,5,0,18,0,0
86544,0,0,0,0,0,0,1,0,5,0,18,0,0
86732,0,0,0,0,0,0,1,0,6,0,30,0,0
86928,0,0,0,0,0,0,1,0,4,0,32,0,0
87198,0,0,0,0,0,0,1,0,2,0,30,0,0
87330,0,0,0,0,0,0,1,0,1,0,48,0,0
87520,0,0,0,0,0,0,1,0,1,0,37,0,0
87712,0,0,0,0,0,0,1,0,2,0,25,0,0
87904,0,0,0,0,0,0,1,0,2,0,33,0,0
88107,0,0,0,0,0,0,1,0,2,0,41,0,0
88303,0,0,0,0,0,0,1,0,2,0,29,0,0
88521,0,0,0,0,0,0,1,0,3,0,28,0,0
88687,0,0,0,0,0,0,1,0,3,0,35,0,0
88879,0,0,0,0,0,0,0,0,4,0,33,0,0
89072,0,0,0,0,0,0,0,8,3,0,17,0,0
89280,0,0,0,0,0,0,0,12,0,0,0,0,0
89471,0,0,0,0,0,0,0,0,0,0,0,0,0
89663,0,0,0,0,0,0,0,0,0,361,0,0,0
